file,pred_author
147604newsML.txt,LynneO'Donnell
196812newsML.txt,LynneO'Donnell
219316newsML.txt,LynneO'Donnell
251225newsML.txt,SimonCowell
177958newsML.txt,LynneO'Donnell
163815newsML.txt,LynneO'Donnell
198999newsML.txt,LynneO'Donnell
196990newsML.txt,LynneO'Donnell
110986newsML.txt,LynnleyBrowning
216335newsML.txt,LynneO'Donnell
153574newsML.txt,LynneO'Donnell
207287newsML.txt,LynneO'Donnell
142837newsML.txt,LynneO'Donnell
168806newsML.txt,LynneO'Donnell
163749newsML.txt,SimonCowell
147744newsML.txt,LynneO'Donnell
166722newsML.txt,LynneO'Donnell
156766newsML.txt,LynneO'Donnell
163771newsML.txt,LynneO'Donnell
168531newsML.txt,LynneO'Donnell
104639newsML.txt,LynneO'Donnell
257938newsML.txt,LynneO'Donnell
140433newsML.txt,LynneO'Donnell
137061newsML.txt,LynneO'Donnell
105455newsML.txt,LynneO'Donnell
10726newsML.txt,LynneO'Donnell
144598newsML.txt,LynneO'Donnell
186416newsML.txt,LynneO'Donnell
220676newsML.txt,LynneO'Donnell
122605newsML.txt,LynneO'Donnell
168654newsML.txt,LynneO'Donnell
196693newsML.txt,LynneO'Donnell
110827newsML.txt,LynnleyBrowning
113551newsML.txt,LynneO'Donnell
264190newsML.txt,LynneO'Donnell
164273newsML.txt,LynneO'Donnell
243684newsML.txt,LynnleyBrowning
143798newsML.txt,LynneO'Donnell
259306newsML.txt,LynneO'Donnell
172865newsML.txt,LynneO'Donnell
129717newsML.txt,LynneO'Donnell
156978newsML.txt,LynneO'Donnell
207288newsML.txt,LynneO'Donnell
175201newsML.txt,LynneO'Donnell
206638newsML.txt,LynneO'Donnell
129289newsML.txt,LynneO'Donnell
255995newsML.txt,SimonCowell
173005newsML.txt,LynneO'Donnell
243641newsML.txt,LynnleyBrowning
173947newsML.txt,LynneO'Donnell
245918newsML.txt,LynneO'Donnell
169353newsML.txt,LynneO'Donnell
293211newsML.txt,LynnleyBrowning
103703newsML.txt,LynneO'Donnell
318451newsML.txt,LynnleyBrowning
159726newsML.txt,LynneO'Donnell
263781newsML.txt,LynnleyBrowning
114005newsML.txt,LynneO'Donnell
107881newsML.txt,LynneO'Donnell
123245newsML.txt,LynneO'Donnell
266599newsML.txt,LynneO'Donnell
308394newsML.txt,LynnleyBrowning
105018newsML.txt,LynnleyBrowning
248885newsML.txt,LynneO'Donnell
262566newsML.txt,LynneO'Donnell
163468newsML.txt,LynneO'Donnell
295731newsML.txt,LynneO'Donnell
324280newsML.txt,LynneO'Donnell
236661newsML.txt,LynneO'Donnell
209593newsML.txt,LynnleyBrowning
230857newsML.txt,LynneO'Donnell
202315newsML.txt,LynneO'Donnell
263722newsML.txt,LynneO'Donnell
27013newsML.txt,LynneO'Donnell
305426newsML.txt,LynneO'Donnell
156303newsML.txt,LynneO'Donnell
219830newsML.txt,LynneO'Donnell
199480newsML.txt,LynneO'Donnell
185549newsML.txt,LynneO'Donnell
266625newsML.txt,LynneO'Donnell
269386newsML.txt,LynneO'Donnell
206315newsML.txt,LynnleyBrowning
147283newsML.txt,SimonCowell
130255newsML.txt,LynneO'Donnell
269345newsML.txt,LynneO'Donnell
241692newsML.txt,LynneO'Donnell
298904newsML.txt,LynnleyBrowning
318404newsML.txt,LynneO'Donnell
314644newsML.txt,LynneO'Donnell
166151newsML.txt,LynneO'Donnell
224891newsML.txt,SimonCowell
153131newsML.txt,LynneO'Donnell
116673newsML.txt,LynnleyBrowning
102195newsML.txt,LynneO'Donnell
239652newsML.txt,LynneO'Donnell
166214newsML.txt,LynneO'Donnell
260916newsML.txt,LynneO'Donnell
239689newsML.txt,LynneO'Donnell
182130newsML.txt,LynnleyBrowning
294148newsML.txt,LynnleyBrowning
271793newsML.txt,LynneO'Donnell
170654newsML.txt,LynneO'Donnell
264379newsML.txt,LynneO'Donnell
299663newsML.txt,LynneO'Donnell
331262newsML.txt,LynneO'Donnell
128940newsML.txt,LynneO'Donnell
315358newsML.txt,LynneO'Donnell
183605newsML.txt,LynneO'Donnell
173933newsML.txt,LynneO'Donnell
298368newsML.txt,LynneO'Donnell
124768newsML.txt,LynneO'Donnell
113206newsML.txt,LynneO'Donnell
271795newsML.txt,LynneO'Donnell
271894newsML.txt,LynneO'Donnell
185419newsML.txt,LynneO'Donnell
290979newsML.txt,SimonCowell
189198newsML.txt,LynneO'Donnell
200795newsML.txt,LynneO'Donnell
129309newsML.txt,LynneO'Donnell
120392newsML.txt,LynneO'Donnell
287796newsML.txt,SimonCowell
123800newsML.txt,LynneO'Donnell
160557newsML.txt,LynneO'Donnell
313088newsML.txt,LynneO'Donnell
307652newsML.txt,LynneO'Donnell
104417newsML.txt,LynneO'Donnell
121032newsML.txt,LynneO'Donnell
117158newsML.txt,LynneO'Donnell
160129newsML.txt,LynneO'Donnell
272490newsML.txt,LynneO'Donnell
287103newsML.txt,LynneO'Donnell
218300newsML.txt,LynneO'Donnell
146032newsML.txt,LynneO'Donnell
311972newsML.txt,LynneO'Donnell
101520newsML.txt,LynneO'Donnell
331500newsML.txt,LynneO'Donnell
167199newsML.txt,LynneO'Donnell
183208newsML.txt,LynneO'Donnell
202658newsML.txt,LynneO'Donnell
150572newsML.txt,LynneO'Donnell
309316newsML.txt,LynneO'Donnell
285535newsML.txt,LynneO'Donnell
181666newsML.txt,LynneO'Donnell
330773newsML.txt,LynneO'Donnell
311931newsML.txt,LynneO'Donnell
108366newsML.txt,LynneO'Donnell
203674newsML.txt,LynneO'Donnell
172988newsML.txt,SimonCowell
157930newsML.txt,LynneO'Donnell
283247newsML.txt,LynneO'Donnell
288745newsML.txt,LynneO'Donnell
183243newsML.txt,LynneO'Donnell
120404newsML.txt,LynneO'Donnell
122415newsML.txt,LynneO'Donnell
124763newsML.txt,LynneO'Donnell
119156newsML.txt,LynneO'Donnell
375668newsML.txt,LynneO'Donnell
184787newsML.txt,LynneO'Donnell
287614newsML.txt,LynneO'Donnell
307864newsML.txt,LynneO'Donnell
105491newsML.txt,LynneO'Donnell
40606newsML.txt,LynneO'Donnell
379600newsML.txt,LynneO'Donnell
270352newsML.txt,LynneO'Donnell
269990newsML.txt,LynneO'Donnell
288623newsML.txt,LynneO'Donnell
186387newsML.txt,LynneO'Donnell
357313newsML.txt,LynneO'Donnell
305809newsML.txt,LynneO'Donnell
152528newsML.txt,LynneO'Donnell
298475newsML.txt,LynneO'Donnell
320765newsML.txt,LynneO'Donnell
360346newsML.txt,LynneO'Donnell
239967newsML.txt,MichaelConnor
13865newsML.txt,LynneO'Donnell
261401newsML.txt,LynneO'Donnell
309322newsML.txt,LynneO'Donnell
22201newsML.txt,LynneO'Donnell
13406newsML.txt,LynneO'Donnell
269817newsML.txt,LynneO'Donnell
239435newsML.txt,MichaelConnor
324861newsML.txt,LynneO'Donnell
418479newsML.txt,LynneO'Donnell
372558newsML.txt,LynneO'Donnell
257827newsML.txt,LynneO'Donnell
237057newsML.txt,LynneO'Donnell
328867newsML.txt,LynneO'Donnell
285409newsML.txt,LynnleyBrowning
13958newsML.txt,LynneO'Donnell
233199newsML.txt,LynneO'Donnell
102530newsML.txt,LynneO'Donnell
353261newsML.txt,LynneO'Donnell
299336newsML.txt,LynneO'Donnell
406455newsML.txt,LynneO'Donnell
363969newsML.txt,LynneO'Donnell
245471newsML.txt,LynneO'Donnell
323784newsML.txt,LynneO'Donnell
234177newsML.txt,LynneO'Donnell
186990newsML.txt,LynneO'Donnell
269791newsML.txt,SimonCowell
245686newsML.txt,LynneO'Donnell
294823newsML.txt,LynneO'Donnell
344993newsML.txt,LynneO'Donnell
242939newsML.txt,LynneO'Donnell
167802newsML.txt,LynneO'Donnell
299957newsML.txt,LynneO'Donnell
148240newsML.txt,LynneO'Donnell
300358newsML.txt,LynneO'Donnell
297151newsML.txt,LynneO'Donnell
29051newsML.txt,LynneO'Donnell
100554newsML.txt,LynneO'Donnell
137871newsML.txt,LynneO'Donnell
342301newsML.txt,LynneO'Donnell
