Read Time: 0.053345441818237305
Processing Time: 0.030748367309570312
Number of Iterations: 163

Damping Factor: 0.85

Rank    Node                          Page Rank           
1.0     Myriel                        0.000015814708147090
2.0     Tholomyes                     0.000011720189877201
3.0     MlleBaptistine                0.000007642064401640
4.0     Valjean                       0.000005543758908994
5.0     Listolier                     0.000005295718783921
6.0     Labarre                       0.000005203602824004
7.0     MmeThenardier                 0.000004147175701382
8.0     Thenardier                    0.000003096368266722
9.0     MmeMagloire                   0.000002703038953793
10.0    Jondrette                     0.000001996270188203
11.0    MmeBurgon                     0.000001988425032973
12.0    Gavroche                      0.000001979728664582
13.0    Fameuil                       0.000001894544890413
14.0    Eponine                       0.000001876551016711
15.0    Marguerite                    0.000001278456165617
16.0    Javert                        0.000001274414052002
17.0    Mabeuf                        0.000001229236907027
18.0    Cosette                       0.000001204423366668
19.0    Fantine                       0.000001192726924615
20.0    Gillenormand                  0.000001124375414065
21.0    Blacheville                   0.000001022922500882
22.0    Pontmercy                     0.000000945703903204
23.0    Enjolras                      0.000000878756641825
24.0    Bamatabois                    0.000000773698473890
25.0    Combeferre                    0.000000771600671735
26.0    Prouvaire                     0.000000739067141986
27.0    Judge                         0.000000730025428891
28.0    Favourite                     0.000000667312010887
29.0    MlleGillenormand              0.000000628178227090
30.0    Marius                        0.000000621395372054
31.0    Dahlia                        0.000000486558022092
32.0    Champmathieu                  0.000000426057261122
33.0    Feuilly                       0.000000409240533445
34.0    LtGillenormand                0.000000389332513951
36.0    Fauchelevent                  0.000000385131612099
36.0    Perpetue                      0.000000385131612099
36.0    Child1                        0.000000385131612099
38.0    Zephine                       0.000000381805263922
39.0    Gueulemer                     0.000000348078783397
40.0    Courfeyrac                    0.000000341834348730
41.0    Bahorel                       0.000000307193706187
42.0    Brevet                        0.000000302042239960
43.0    Babet                         0.000000289915643494
44.0    Bossuet                       0.000000262563629621
45.0    Claquesous                    0.000000250713869499
46.0    Joly                          0.000000240837254201
47.0    Chenildieu                    0.000000239006389286
48.0    Montparnasse                  0.000000225307149647
49.0    Grantaire                     0.000000222770253418
63.5    MotherPlutarch                0.000000202475083583
63.5    OldMan                        0.000000202475083583
63.5    Simplice                      0.000000202475083583
63.5    Woman1                        0.000000202475083583
63.5    Scaufflaire                   0.000000202475083583
63.5    MotherInnocent                0.000000202475083583
63.5    Napoleon                      0.000000202475083583
63.5    Toussaint                     0.000000202475083583
63.5    Anzelma                       0.000000202475083583
63.5    MmeHucheloup                  0.000000202475083583
63.5    BaronessT                     0.000000202475083583
63.5    Boulatruelle                  0.000000202475083583
63.5    Brujon                        0.000000202475083583
63.5    Champtercier                  0.000000202475083583
63.5    Child2                        0.000000202475083583
63.5    Cochepaille                   0.000000202475083583
63.5    Count                         0.000000202475083583
63.5    MmePontmercy                  0.000000202475083583
63.5    CountessDeLo                  0.000000202475083583
63.5    Geborand                      0.000000202475083583
63.5    Gervais                       0.000000202475083583
63.5    Gribier                       0.000000202475083583
63.5    Woman2                        0.000000202475083583
63.5    Magnon                        0.000000202475083583
63.5    MlleVaubois                   0.000000202475083583
63.5    MmeDeR                        0.000000202475083583
63.5    Cravatte                      0.000000202475083583
63.5    Isabeau                       0.000000202475083583
